USERNAME,TEXT,RETWEETS,ABOUT_BASEBALL
VictorMarkno,Vamos por la remontada si va? @leones_cbbc,1,1
VictorMarkno,Los Cubs ganaron la Serie Mundial. Este si es el año de Los Tiburones de la Guaira https:// twitter.com/ArmyAnonymo/st atus/796225656363290624 …,3,1
jouvash,Muere Chavez -> Magallanes Gana Muere el chavismo -> La Vinotinto va al mundial Izzy pizzy lemon squishy,0,1
AndresEspinoza,11.449 entradas vendidas para el último #Magallanes - #Tiburones de la regular en el Universitario,5,1
AndresEspinoza,10.219 entradas vendidas para el primer #Magallanes - #Tiburones disputado esta temporada en la UCV,1,1
AndresEspinoza,"Con dos outs en la parte baja del sexto inning, aparece la lluvia de pronto. Mandan a poner la lona...come on, man! #Magallanes #Tiburones",0,1
AndresEspinoza,#Magallanes colocó el juego bajo protesta por el uso de pelotas que aparentemente no eran las de play #Tiburones,7,1
AndresEspinoza,"Herrera señaló que #Tiburones compitió por los servicios de Matt Zielinski, lanzador que al final terminó en las filas de #Magallanes",2,1
AndresEspinoza,"Núñez dejó claro que no está retirándose del beisbol . ""Si me dejan en libertad, creo que estoy en capacidad de ayudar a cualquiera"" #Tigres",18,1
AndresEspinoza,"No sé en qué otro beisbol sería strike ese último que le cantaron a Alfaro, pero en fin...cuatro K's se comió hoy #Tiburones",3,1
AndresEspinoza,"Ozzie, aparentemente refiriéndose a Edwin Zerpa: ""Nos estamos dejando guiar por alguien que no sabe absolutamente nada de beisbol """,37,1
AndresEspinoza,"Estamos en vivo en @3EnBase1300 repasando la actualidad del beisbol . Join us, would you?",1,1
AndresEspinoza,"@tinaclaverie Lo peor es que como es beisbol , lo que vende, hay que esperar a la hora que decidan jugar. MDP ya estuviera de vuelta en la RU",0,1
AndresEspinoza,"#Tiburones está ganando y jugando un muy buen beisbol esta noche, pero ni eso silencia las pitas de los aficionados a Olmo Rosario",9,1
AndresEspinoza,El mejor beisbol que he visto de #Tiburones en esta temporada. De calle,8,1
AndresEspinoza,Hasta con los domingos de beisbol acabaron...qué dolor ver los estadios tan vacíos,13,1
AndresEspinoza,"""Cafecito"" no pudo traer todos sus implementos de beisbol por el huracán Mathew. Cuando los reciba, se pondrá a las órdenes de #Tiburones",11,1
AndresEspinoza,"Sería una ""gran"" historia que el mejor relevista del beisbol , Zach Britton, decidiera explotar en este preciso momento #Orioles",1,1
AnSanchezRu,Oficialmente se acabó una era para #Magallanes . Un gran trabajo luego de cuatro finales consecutivas y dos títulos,3,1
AnSanchezRu,"Postemporada sin Eternos Rivales: #Magallanes eliminado acompaña a #Leones . La segunda vez que ocurre, la primera 2007-2008",7,1
AnSanchezRu,"Yandy Díaz amanece hoy con el liderato de average de la liga .367, están cerca José Tábata .363 y Hernán Pérez .360 #Leones #Magallanes",3,1
AnSanchezRu,"La palabra de Félix Hernández pesa. Dijo que iba a lanzar y lo hizo, dijo que sería el 22-12 y lo hizo #Magallanes",6,1
AnSanchezRu,"Mejores cerradores en la #LVBP : Garcés (124), Buttó (86), Jorge Julio (76), Aponte (73), Santos (70), Pena (69) #Magallanes",6,1
AnSanchezRu,En minutos comenzará el octavo Caracas- Magallanes de la temporada. Jhoulys Chacín y Ed-Rod serán los abridores pic.twitter.com/dSLiSszskq,3,1
AnSanchezRu,"Con el jonrón del 2° inning, Lissón llegó a 62 de por vida y dejó atrás los 61 de Galarraga. Super Mario es el 15 de la historia #Magallanes",4,1
AnSanchezRu,"Asdrúbal Cabrera planea debutar el jueves, contra #Magallanes con Eduardo Rodríguez. #Leones tendrá ese día a Jhoulys Chacín",23,1
AnSanchezRu,"¿Ahora qué hará Carlos García? ""Voy a despertarme mañana, pediré una cena, veré el juego #Magallanes y #Águilas y criticaré a Omar"" (risas)",25,1
AnSanchezRu,"Carlos García: ""Extrañaré ir al José Bernardo Pérez, dirigir las prácticas y hablar con los coachs"" #Magallanes",19,1
AnSanchezRu,"García: ""Qué voy a extrañar del #Magallanes ? Su fanaticada todas las noches. Sabía que no era una situación fácil pero competíamos""",21,1
AnSanchezRu,"Carlos García: ""No tengo ningún tipo de remordimiento. Estoy orgulloso de vestir el uniforme del #Magallanes """,26,1
AnSanchezRu,"García: (sigue)... dar chance para otra generación, a otras personas que tuvieran la capacidad. Mucha gente puede hacerlo"" #Magallanes",13,1
AnSanchezRu,"García: ""Nada es eterno en la vida. Yo no di un paso al costado, pero todo indicaba que la era de García en el #Magallanes ... (sigue)",13,1
AnSanchezRu,"Carlos García: ""Quisiera darle un millón de gracias a la directiva del #Magallanes por las oportunidades que me dieron. Siempre agradecido""",30,1
AnSanchezRu,"Hay que recordar que el colapso de las tuberías no ocurrió en la UCV, sino en una de las calles de Los Chaguaramos #Magallanes #Leones",10,1
AnSanchezRu,"Pedrique: (viene)... Un Caracas vs. Magallanes , con tanta gente y sin agua se iba a poner bastante feo"" #Leones",5,1
